id,code,name,active
company_activity_351102,351102,CONSTRUCCION DE EMBARCACIONES Y ESTRUCTURAS FLOTANTES,TRUE
company_activity_351103,351103,VENTA DE EMBARCACIONES DE MOTOR Y VELA,TRUE
company_activity_352001,352001,FABRICACION DE LOCOMOTORAS Y  MATERIAL RODANTE PARA FERROCARRILES Y TRANVIAS,TRUE
company_activity_353001,353001,FABRICACION DE AERONAVES Y NAVES ESPACIALES Y MAQUINARIA CONEXA,TRUE
company_activity_359101,359101,"FABRICACION DE MOTOCICLETAS, PARTES, PIEZAS Y SUS ACCESORIOS",TRUE
company_activity_359201,359201,"FABRICACION DE BICICLETAS Y SILLAS DE RUEDAS, PARTES, PIEZAS Y SUS ACCESORIOS",TRUE
company_activity_359901,359901,FABRICACION DE OTROS TIPOS DE EQUIPO DE TRANSPORTE N.C.P.,TRUE
company_activity_361001,361001,FABRICACION Y/O REPARACION DE MUEBLES Y ACCESORIOS (INCLUYECOLCHONES),TRUE
company_activity_361002,361002,REPARACION DE TAPICERIA,TRUE
company_activity_361004,361004,MAQUILA DE MUEBLES,TRUE
company_activity_369101,369101,"FABRICACION DE JOYAS, BISUTERIA Y ARTICULOS CONEXOS",TRUE
company_activity_369201,369201,"FABRICACION DE INSTRUMENTOS MUSICALES, PARTES Y PIEZAS Y SUS ACCESORIOS",TRUE
company_activity_369301,369301,FABRICACION DE ARTICULOS DE DEPORTE,TRUE
company_activity_369401,369401,FABRICACION DE JUEGOS Y JUGUETES,TRUE
company_activity_369901,369901,FABRICACION DE  ESCOBAS,TRUE
company_activity_369902,369902,"FABRICACION DE VELAS (CANDELAS) EXCEPTO LAS PERFUMADAS, COLOREADAS Y DECORADAS.",TRUE
company_activity_369903,369903,"FABRICACION DE VELAS COLOREADAS, PERFUMADAS Y DECORADAS",TRUE
company_activity_369904,369904,"FABRICACION DE SELLOS DE MANO, METAL O HULE (CAUCHO)",TRUE
company_activity_371001,371001,RECICLAJE DE DESPERDICIOS Y DESECHOS METALICOS,TRUE
company_activity_372001,372001,RECICLAJE DE OTRO TIPO DE MATERIALES N.C.P.,TRUE
company_activity_372003,372003,RECICLAJE DE PAPEL Y PLASTICO Y MATERIALES RELACIONADOS,TRUE
company_activity_401002,401002,"GENERACION Y/O DISTRIBUCION DE ENERGIA ELECTRICA (HIDRAULICA,CONVENCIONAL, TERMI",TRUE
company_activity_401004,401004,"FABRICACION, ENSAMBLE Y VENTA DE SISTEMAS PARA EL APROVECHAMIENTO DE ENERGIAS RE",TRUE
company_activity_402001,402001,FABRICACION DE GAS; DISTRIBUCION DE COMBUSTIBLES GASEOSOS POR TUBERIAS,TRUE
company_activity_402002,402002,INSTALACION Y VENTA DE TANQUES PARA GAS,TRUE
company_activity_403001,403001,SUMINISTRO DE VAPOR Y AIRE ACONDICIONADO,TRUE
company_activity_410001,410001,"CAPTACION, TRATAMIENTO Y DISTRIBUCION DE AGUA",TRUE
company_activity_451001,451001,DEMOLICION DE EDIFICIOS Y OTRAS ESTRUCTURAS,TRUE
company_activity_451002,451002,PREPARACION DE TERRENOS,TRUE
company_activity_452002,452002,"CONSTRUCCION DE EDIFICIOS, APARTAMENTOS, CONDOMINIOS  Y CASAS DE HABITACION",TRUE
company_activity_452003,452003,"MANTENIMIENTO, REPARACION Y AMPLIACIONES DE EDIFICIOS, APARTAMENTOS, CONDOMINIOS",TRUE
company_activity_452005,452005,CONSTRUCCION Y MANTENIMIENTO DE CARRETERAS Y OTRAS VIAS,TRUE
